PLAYERS,,,,,,,,Game Info,,,,,,,,,,,DEFENSES,,,,,ACTIONS MASTER,,,,,,,,,,,,,,,,,,,,,,,OVERALL ACTION CATEGORIES,,,,,,,,,,,GAME TAB LOCATIONS,,,,,,,,,,DEFENSIVE GAME TOTALS,,,,,DEFENSIVE PLAYER GAME TOTALS,,,,,,,,,,,,ACTION GAME TOTALS,,,,,,,,,,,ACTION CATEGORY TOTALS,,,,,,,,,,,,ACTION CATEGORY VALUE TOTALS,,,,,,,,,,,,,,,,,,,,,,PLAYER DEFENSIVE ACTION TOTALS,,,,,,,,,,,,,,,,,,,,,,,PLAYER DEFENSIVE ACTION VALUE TOTALS,,,,,,,,,,,,,,,,,,,,,,,,PLAYER ACTION TOTALS,,,,,,,,,,,,,,,,,,,,,,,,PLAYER ACTION VALUE TOTALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scoring Ranges,,,,,SEASON TOTAL STATS,OVERALL,SUMMARY,,,,,,,,,MAN,SUMMARY,,,,,,,,,50,SUMMARY,,,,,,,,,32,SUMMARY,,,,,,,,,21,SUMMARY,,,,,,,,PER GAME STATS,OVERALL,SUMMARY,,,,,,,,,MAN,SUMMARY,,,,,,,,,50,SUMMARY,,,,,,,,,32,SUMMARY,,,,,,,,,21,SUMMARY,,,,,,,,,PLAYER DEFENSIVE ACTION PER-GAME AVERAGES,,,,,,,,,,,,,,,,,,,,,,,,ACTION CATEGORY PER GAME STATS,,,,,,,,,,,,PLAYER ACTION PER GAME STATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jersey #,Player Name,# Player Name,Position,Role,,,,Game #,Date,Time,Opponent,Location,Tab Name,SAC Score,OPP Score,,,,Name,Type,,,,Action,Category,Score,Man,50,32,21,,,,,,,Man,50,32,21,,,,,,,Hustle Plays,Team Defense,Rebounding,Stops,Coverage Errors,Team Errors,Rebounding Errors,Foul Issues,,,,Defense,Section Type,Label / Category / Action,Header Range,Data Range,Column(s),Notes,,,,Defense,Total Games,,,,Player,Overall,Man,50,32,21,,,,,,,Action,Man,50,32,21,,,,,,,Player,Hustle Plays,Team Defense,Rebounding,Stops,Coverage Errors,Team Errors,Rebounding Errors,Foul Issues,,,,Player,Hustle Plays,Team Defense,Rebounding,Stops,Coverage Errors,Team Errors,Rebounding Errors,Foul Issues,Positive Total,Negative Total,Net Performance,Positive %,Negative %,Net Efficiency %,Pos/Neg Ratio,Sum Of Absolute Values,,,,,,Action,Defense,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,TOTAL,Per-Game Average,,Action,Defense,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,TOTAL,,,,Action,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,TOTAL,Defensive Breakdown % of Net,Team Value Totals,,,Action,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,Team Value Totals,Defensive Breakdown % of Net,Sum Of Absolute Values,,,Per-Game Averages ,,,,PPM Range,Label,Impact,,,,Player,Games Played,Minutes Played,Positive Total,Negative Total,Net Performance,PPM,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Minutes Played,Positive Total,Negative Total,Net Performance,PPM,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Player,Games Played,Possessions,Positive Total,Negative Total,Net Performance,PPP,,,,Action,Defense,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,Per-Game Averages,,,,Player,Hustle Plays,Team Defense,Rebounding,Stops,Coverage Errors,Team Errors,Rebounding Errors,Foul Issues,,,,Action,0 - Mia Rivera,2 - Victoria Om,11 - Anaya Beard,12 - Aisleigh Canaday,20 - Faith Ledesma,21 - Beverly Tandarich,22 - Jayleen Rivera,23 - Sophia Boyer,24 - Claudia Solis,25 - Chloe Espinosa,30 - Kiki Graham,40 - Kimberly Limon,,,,,,,TOTAL,,,,Player,Block,Charge,Contested Shot,Audible,Good Foul,Jump Ball,No Ball In Paint,Post Shift,Rebound,Rotation Help,Steal,PNR Trap,Successful Trap,Tip,Top Rotation,Bad Foul,Failed Audible,Middle Drive,Missed PNR Trap,Missed REB Duty,Missed Rotation,Missed Trap,No Shot Contest,No Front (High),No Front (Low),Same Side Help,Scored On
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Subheader,Missed Trap,U35,U36:U47,U,Failed boxout or rebound duty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rebound,Man,32,52,67,14,41,,20,7,11,6,32,25,,,,,,,307,17.0,,Rebound,Man,64,104,134,28,82,,40,14,22,12,64,50,,,,,,,614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rebound,Man,1.8,2.6,3.4,0.9,2.1,,1.0,0.7,1.0,0.7,1.6,1.3,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Subheader,Same Side Help,V35,V36:V47,V,Late or missing same-side help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rotation Help,Man,150,162,155,38,172,2,145,12,47,12,240,94,,,,,,,1229,67.3,,Rotation Help,Man,150,162,155,38,172,2,145,12,47,12,240,94,,,,,,,1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rotation Help,Man,8.3,8.1,7.8,2.5,8.6,1.0,7.3,1.2,4.3,1.3,12.0,4.9,,,,,,,67.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Subheader,Missed REB Duty,W35,W36:W47,W,No contest given,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steal,Man,36,24,25,9,16,,18,,8,1,35,8,,,,,,,180,9.8,,Steal,Man,108,72,75,27,48,,54,,24,3,105,24,,,,,,,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steal,Man,2.0,1.2,1.3,0.6,0.8,,0.9,,0.7,0.1,1.8,0.4,,,,,,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Subheader,No Shot Contest,X35,X36:X47,X,Player scored against,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PNR Trap,Man,22,34,57,15,12,,5,2,2,3,24,26,,,,,,,202,10.9,,PNR Trap,Man,44,68,114,30,24,,10,4,4,6,48,52,,,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PNR Trap,Man,1.2,1.7,2.9,1.0,0.6,,0.3,0.2,0.2,0.3,1.2,1.4,,,,,,,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Subheader,Scored On,Y35,Y36:Y47,Y,Poor or unnecessary foul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tip,Man,62,53,40,21,38,,30,4,25,3,65,14,,,,,,,355,19.9,,Tip,Man,62,53,40,21,38,,30,4,25,3,65,14,,,,,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tip,Man,3.4,2.7,2.0,1.4,1.9,,1.5,0.4,2.3,0.3,3.3,0.7,,,,,,,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Subheader,Bad Foul,Z35,Z36:Z47,Z,Miscommunication on audible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Foul,Man,15,29,18,16,26,,10,4,8,3,13,9,,,,,,,151,8.6,,Bad Foul,Man,-15,-29,-18,-16,-26,,-10,-4,-8,-3,-13,-9,,,,,,,-151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bad Foul,Man,0.8,1.5,0.9,1.1,1.3,,0.5,0.4,0.7,0.3,0.7,0.5,,,,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Subheader,Failed Audible,AA35,AA36:AA47,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Failed Audible,Man,,2,2,,,,,,,,,1,,,,,,,5,0.3,,Failed Audible,Man,,-4,-4,,,,,,,,,-2,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Failed Audible,Man,,0.1,0.1,,,,,,,,,0.1,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,Totals Row,Total,A48:AA48,A48:AA48,A–AA,Summary totals for all categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle Drive,Man,11,6,9,5,8,,2,,6,,3,3,,,,,,,53,3.0,,Middle Drive,Man,-22,-12,-18,-10,-16,,-4,,-12,,-6,-6,,,,,,,-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Middle Drive,Man,0.6,0.3,0.5,0.3,0.4,,0.1,,0.5,,0.2,0.2,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,Main Header,32,A49:B49,A49:B49,A–B,Displays “32” defense name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed PNR Trap,Man,6,6,19,12,7,,5,5,2,2,4,9,,,,,,,77,4.6,,Missed PNR Trap,Man,-12,-12,-38,-24,-14,,-10,-10,-4,-4,-8,-18,,,,,,,-154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed PNR Trap,Man,0.3,0.3,1.0,0.8,0.4,,0.3,0.5,0.2,0.2,0.2,0.5,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,Subheader,Player,A50,A51:A62,A,Player names,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed REB Duty,Man,7,20,22,8,35,,12,,2,7,14,17,,,,,,,144,7.9,,Missed REB Duty,Man,-14,-40,-44,-16,-70,,-24,,-4,-14,-28,-34,,,,,,,-288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed REB Duty,Man,0.4,1.0,1.1,0.5,1.8,,0.6,,0.2,0.8,0.7,0.9,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,Subheader,Possessions,B50,B51:B62,B,Possessions logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed Rotation,Man,55,58,82,45,99,1,56,11,37,25,27,29,,,,,,,525,31.4,,Missed Rotation,Man,-110,-116,-164,-90,-198,-2,-112,-22,-74,-50,-54,-58,,,,,,,-1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Missed Rotation,Man,3.1,2.9,4.1,3.0,5.0,0.5,2.8,1.1,3.4,2.8,1.4,1.5,,,,,,,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,Subheader,Positive Total,C50,C51:C62,C,Positive outcomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot Contest,Man,48,52,47,25,50,,36,5,14,11,19,20,,,,,,,327,18.6,,No Shot Contest,Man,-96,-104,-94,-50,-100,,-72,-10,-28,-22,-38,-40,,,,,,,-654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot Contest,Man,2.7,2.6,2.4,1.7,2.5,,1.8,0.5,1.3,1.2,1.0,1.1,,,,,,,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,Subheader,Negative Total,D50,D51:D62,D,Negative outcomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Same Side Help,Man,9,6,5,7,15,,9,1,8,,12,,,,,,,,72,4.1,,Same Side Help,Man,-18,-12,-10,-14,-30,,-18,-2,-16,,-24,,,,,,,,-144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Same Side Help,Man,0.5,0.3,0.3,0.5,0.8,,0.5,0.1,0.7,,0.6,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,Subheader,Net Performance,E50,E51:E62,E,Positives minus negatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scored On,Man,35,37,42,20,42,,32,1,10,3,21,12,,,,,,,255,14.0,,Scored On,Man,-105,-111,-126,-60,-126,,-96,-3,-30,-9,-63,-36,,,,,,,-765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scored On,Man,1.9,1.9,2.1,1.3,2.1,,1.6,0.1,0.9,0.3,1.1,0.6,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,Subheader,PPP,F50,F51:F62,F,Points per possession,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,Subheader,PPP +/- vs. Season Avg,G50,G51:G62,G,Compared to season average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,Subheader,Tip,H50,H51:H62,H,Deflection / tip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,Subheader,Steal,I50,I51:I62,I,Steal recorded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,Subheader,Block,J50,J51:J62,J,Blocked shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,Subheader,Rebound,K50,K51:K62,K,Defensive rebound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,Subheader,Rotation Help,L50,L51:L62,L,Rotational coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
